epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
30,2981.49,0.73917,1.07743,0.57403,1.02849,0.91765,0.8765,0.95817,0.71393,0.93928,0.8764,0.93819,0.7392,0.89999,1.55833,0.65134,1.08324,0.0014258,0.0014258,0.0014258
31,3012.76,0.73239,1.05386,0.56881,1.02722,0.94181,0.90934,0.95745,0.71664,0.93018,0.89811,0.93431,0.72071,0.90091,1.60989,0.64522,1.07828,0.001406,0.001406,0.001406
32,3041.5,0.69134,0.98147,0.53268,1.00141,0.93513,0.88764,0.95845,0.73754,0.91414,0.86517,0.90957,0.70303,0.82582,1.4591,0.62975,1.02983,0.0013862,0.0013862,0.0013862
33,3975.95,0.68836,0.95162,0.52897,0.99882,0.89603,0.87154,0.93016,0.6995,0.88386,0.85507,0.91477,0.70139,0.8903,1.41671,0.65797,1.0896,0.0013664,0.0013664,0.0013664
34,4008.75,0.7221,1.09598,0.57483,1.00187,0.89648,0.87577,0.91299,0.71619,0.89648,0.87577,0.89697,0.71943,0.77007,1.86414,0.67451,1.01606,0.0013466,0.0013466,0.0013466
35,4039.41,0.69615,1.00029,0.53275,1.00922,0.9303,0.89985,0.9476,0.73462,0.9303,0.89985,0.93297,0.73828,0.8261,1.53429,0.73218,1.09234,0.0013268,0.0013268,0.0013268
36,4070.07,0.66014,0.91306,0.51767,0.99911,0.8772,0.88287,0.94135,0.7373,0.85487,0.8604,0.91335,0.63875,0.82984,2.23683,0.74173,1.05377,0.001307,0.001307,0.001307
37,5039.33,0.70052,1.00497,0.55157,0.99903,0.85094,0.89802,0.93714,0.73684,0.83959,0.88215,0.91762,0.66523,0.81977,2.20024,0.65302,1.04806,0.0012872,0.0012872,0.0012872
38,5068.32,0.70267,1.06287,0.55878,1.01882,0.92919,0.88464,0.96384,0.74451,0.94095,0.8953,0.97092,0.74653,0.78985,1.46693,0.60958,1.03691,0.0012674,0.0012674,0.0012674
39,5096.64,0.66548,0.96103,0.51505,0.99497,0.93944,0.93258,0.97762,0.76624,0.94276,0.92135,0.96087,0.7318,0.75922,1.4068,0.62477,1.02642,0.0012476,0.0012476,0.0012476
40,5127.67,0.6635,0.90762,0.52044,0.99132,0.91099,0.91995,0.95845,0.72658,0.93734,0.86517,0.91753,0.7275,0.80969,1.38912,0.68403,1.04876,0.0012278,0.0012278,0.0012278
41,5158.61,0.68187,0.98734,0.49781,0.99255,0.96275,0.88764,0.95799,0.76388,0.95084,0.8694,0.93562,0.76212,0.81489,1.39498,0.57988,1.06167,0.001208,0.001208,0.001208
42,5186.77,0.62368,0.87941,0.47142,0.98205,0.9407,0.8764,0.9453,0.7729,0.9407,0.8764,0.9383,0.77343,0.73195,1.34658,0.61585,0.98203,0.0011882,0.0011882,0.0011882
43,6151.42,0.64412,0.97521,0.48795,0.97016,0.85349,0.85097,0.87198,0.66301,0.8378,0.83146,0.84079,0.70433,0.79038,1.15191,0.5571,1.01167,0.0011684,0.0011684,0.0011684
44,6179.82,0.62639,0.90895,0.4795,0.97634,0.8954,0.96182,0.97462,0.78397,0.88444,0.94598,0.95965,0.76472,0.75707,1.2936,0.54857,1.0242,0.0011486,0.0011486,0.0011486
45,6210.01,0.61367,0.8508,0.47347,0.96802,0.88468,0.98876,0.98188,0.79493,0.86323,0.96629,0.96066,0.75925,0.71398,1.38127,0.52277,0.9833,0.0011288,0.0011288,0.0011288
46,7175.13,0.64138,0.95054,0.48892,0.99606,0.91512,0.91011,0.97583,0.79048,0.88122,0.8764,0.92389,0.75247,0.75505,1.33153,0.5226,1.02118,0.001109,0.001109,0.001109
47,7201.73,0.6144,1.00132,0.49517,0.9848,0.90882,0.896,0.959,0.764,0.89793,0.8896,0.9438,0.76497,0.74897,1.1803,0.58331,1.04783,0.0010892,0.0010892,0.0010892
48,7222.3,0.58203,0.82374,0.44213,0.96734,0.91976,0.95506,0.97208,0.76779,0.90894,0.94382,0.94936,0.77789,0.75146,1.05244,0.53136,0.99887,0.0010694,0.0010694,0.0010694
49,7243.93,0.59585,0.85529,0.44607,0.95563,0.94534,0.93258,0.96537,0.77723,0.9412,0.89922,0.95161,0.78422,0.73795,1.16965,0.49481,1.00423,0.0010496,0.0010496,0.0010496
50,7264.89,0.61449,0.94828,0.45983,0.96721,0.93258,0.93253,0.96404,0.76634,0.91582,0.89888,0.95754,0.80672,0.77722,1.19605,0.49783,1.03653,0.0010298,0.0010298,0.0010298
51,7285.69,0.60534,0.87186,0.44335,0.97074,0.95521,0.9585,0.9786,0.79566,0.93727,0.92135,0.94953,0.77461,0.69804,1.33051,0.46383,0.99817,0.00101,0.00101,0.00101
52,7307.4,0.57966,0.85647,0.4386,0.95538,0.95437,0.93997,0.97787,0.80999,0.90963,0.88764,0.92843,0.71773,0.68018,1.51922,0.51445,0.97626,0.0009902,0.0009902,0.0009902
53,7329.54,0.56725,0.86948,0.44205,0.95302,0.98188,0.85393,0.96627,0.80838,0.96896,0.8427,0.93361,0.76278,0.65285,1.24587,0.53878,0.95149,0.0009704,0.0009704,0.0009704
54,7354.02,0.57335,0.82146,0.43978,0.95386,0.98793,0.91957,0.98339,0.81106,0.97586,0.90851,0.96898,0.79682,0.68543,1.17651,0.45916,0.97267,0.0009506,0.0009506,0.0009506
55,7375.36,0.57369,0.80893,0.44275,0.96125,0.98259,0.93258,0.98349,0.81226,0.98259,0.93258,0.96037,0.80271,0.71016,1.23081,0.4565,0.99409,0.0009308,0.0009308,0.0009308
56,7397.45,0.56562,0.88753,0.44686,0.95832,0.95362,0.92413,0.97277,0.80525,0.9507,0.93258,0.9523,0.79544,0.71379,1.1399,0.47172,0.99996,0.000911,0.000911,0.000911
57,7418.84,0.57246,0.77948,0.41583,0.95176,0.95205,0.93258,0.98704,0.82261,0.98765,0.89882,0.96894,0.81681,0.6598,1.12976,0.46574,0.95206,0.0008912,0.0008912,0.0008912
58,7441.86,0.57206,0.78013,0.42989,0.9677,0.92366,0.95168,0.98583,0.81945,0.9231,0.94412,0.96252,0.81448,0.64759,1.11483,0.44156,0.96412,0.0008714,0.0008714,0.0008714
59,7462.47,0.54795,0.83649,0.41209,0.94595,0.97002,0.94382,0.98751,0.82831,0.97002,0.94382,0.97246,0.80911,0.63865,1.0557,0.46162,0.95806,0.0008516,0.0008516,0.0008516
60,7483.41,0.54687,0.78633,0.40955,0.94463,0.97568,0.92135,0.97956,0.8112,0.96387,0.89914,0.96163,0.78086,0.67375,1.15588,0.49435,0.95947,0.0008318,0.0008318,0.0008318
61,7506.5,0.54847,0.80276,0.42245,0.94535,0.97639,0.92135,0.97547,0.78226,0.96741,0.91011,0.95087,0.78798,0.74996,1.15246,0.51651,1.00758,0.000812,0.000812,0.000812
62,7527.76,0.54746,0.71114,0.40281,0.94932,0.96875,0.91011,0.97036,0.80466,0.95679,0.89888,0.94921,0.80789,0.68488,1.13433,0.48036,0.9906,0.0007922,0.0007922,0.0007922
63,7548.46,0.58483,0.84887,0.4264,0.96214,0.93002,0.93258,0.96922,0.8026,0.9187,0.92135,0.9576,0.8139,0.6827,1.05877,0.49982,0.98784,0.0007724,0.0007724,0.0007724
64,7569.39,0.53163,0.76788,0.39937,0.93135,0.96431,0.94382,0.97518,0.82415,0.95269,0.93258,0.96576,0.82497,0.65253,1.01915,0.4613,0.96435,0.0007526,0.0007526,0.0007526
65,7589.94,0.53727,0.75481,0.40929,0.95179,0.95199,0.95506,0.97548,0.82234,0.92939,0.93258,0.95345,0.82062,0.6621,1.03115,0.44288,0.95599,0.0007328,0.0007328,0.0007328
66,7610.41,0.52427,0.82848,0.3984,0.93569,0.94343,0.93693,0.98337,0.81398,0.94945,0.92135,0.9713,0.81521,0.65926,1.10128,0.43361,0.97536,0.000713,0.000713,0.000713
67,7633.02,0.50192,0.75619,0.38959,0.92621,0.95312,0.95506,0.98092,0.81816,0.94169,0.94382,0.97167,0.79562,0.68024,1.24877,0.43636,0.9851,0.0006932,0.0006932,0.0006932
68,7654.32,0.49585,0.74702,0.38419,0.93579,0.9769,0.95016,0.98591,0.82349,0.96534,0.93893,0.96761,0.82016,0.68069,1.0727,0.41093,0.97861,0.0006734,0.0006734,0.0006734
69,7677.86,0.53421,0.83077,0.39367,0.94393,0.97492,0.93258,0.97566,0.80053,0.97322,0.91011,0.94998,0.8107,0.69132,1.03098,0.43688,0.96793,0.0006536,0.0006536,0.0006536
70,7700.05,0.51618,0.82802,0.38212,0.93597,0.98364,0.93258,0.97545,0.8269,0.95994,0.91011,0.94387,0.82706,0.63559,1.0056,0.4296,0.95025,0.0006338,0.0006338,0.0006338
71,7723.06,0.49616,0.74701,0.38211,0.91753,0.96496,0.92841,0.97059,0.80548,0.94118,0.91011,0.94878,0.81615,0.61212,1.0197,0.46047,0.94808,0.000614,0.000614,0.000614
72,7742.55,0.50364,0.78541,0.377,0.92632,0.95374,0.92658,0.97889,0.8342,0.93065,0.90467,0.96161,0.82131,0.61424,1.02399,0.46487,0.94324,0.0005942,0.0005942,0.0005942
73,7764.11,0.48738,0.71851,0.37344,0.91675,0.93341,0.92135,0.97702,0.82999,0.91064,0.89888,0.93667,0.80973,0.63863,1.0194,0.4441,0.97492,0.0005744,0.0005744,0.0005744
74,7785.67,0.48873,0.72368,0.37085,0.91676,0.94663,0.93258,0.98043,0.84629,0.94089,0.89435,0.95134,0.81894,0.61955,0.99097,0.4358,0.94557,0.0005546,0.0005546,0.0005546
75,7807.67,0.49801,0.73255,0.38385,0.92832,0.98844,0.96064,0.98419,0.84193,0.98844,0.96064,0.98419,0.84245,0.60797,0.97977,0.40484,0.94393,0.0005348,0.0005348,0.0005348
76,7830.66,0.48785,0.68378,0.36678,0.92634,0.98826,0.96629,0.98362,0.85518,0.96518,0.94382,0.96514,0.84812,0.58201,1.04021,0.37437,0.93271,0.000515,0.000515,0.000515
77,7851.91,0.46243,0.67253,0.35565,0.9213,0.95599,0.97637,0.98206,0.83572,0.93399,0.95394,0.96018,0.83849,0.61728,1.0069,0.40664,0.96889,0.0004952,0.0004952,0.0004952
78,7872.39,0.47474,0.71838,0.37001,0.92293,0.95514,0.95688,0.98127,0.83834,0.93278,0.93555,0.95212,0.82709,0.63996,1.05675,0.41201,0.9866,0.0004754,0.0004754,0.0004754
79,7894.38,0.45216,0.73238,0.3564,0.91009,0.96658,0.97507,0.98142,0.85588,0.94431,0.95271,0.96047,0.84136,0.61987,0.98709,0.38536,0.96905,0.0004556,0.0004556,0.0004556
80,7915.93,0.4474,0.724,0.35721,0.90378,0.96331,0.97753,0.98155,0.8469,0.94103,0.95506,0.96246,0.8393,0.60997,0.96514,0.37386,0.95098,0.0004358,0.0004358,0.0004358
81,7937.26,0.4862,0.74021,0.36211,0.92091,0.96216,0.95506,0.97745,0.84092,0.92805,0.92135,0.95122,0.82869,0.61436,1.04382,0.39788,0.95234,0.000416,0.000416,0.000416
82,7957.49,0.43391,0.70066,0.34653,0.90509,0.96629,0.9662,0.98122,0.84533,0.93258,0.93249,0.9537,0.83047,0.6223,1.02401,0.40449,0.95758,0.0003962,0.0003962,0.0003962
83,7978.63,0.45428,0.68093,0.34134,0.91651,0.97621,0.96629,0.98471,0.85217,0.95325,0.94382,0.96795,0.83613,0.5936,1.01401,0.39754,0.94439,0.0003764,0.0003764,0.0003764
84,7999.52,0.46768,0.70931,0.33926,0.92475,0.97691,0.97753,0.98904,0.85426,0.95436,0.95506,0.97757,0.85822,0.59817,0.93579,0.3829,0.94177,0.0003566,0.0003566,0.0003566
85,8021.19,0.45844,0.69764,0.34098,0.92403,0.96542,0.97753,0.9886,0.87251,0.94317,0.95506,0.97844,0.84705,0.54969,0.97084,0.35771,0.92413,0.0003368,0.0003368,0.0003368
86,8041.49,0.43992,0.70133,0.33121,0.90064,0.95593,0.97491,0.98533,0.8614,0.91495,0.94382,0.96022,0.84459,0.55494,1.01218,0.37841,0.92685,0.000317,0.000317,0.000317
87,8061.95,0.44365,0.74996,0.33555,0.90598,0.97738,0.97097,0.98002,0.84668,0.94345,0.93726,0.96582,0.85002,0.58094,0.96649,0.38801,0.93996,0.0002972,0.0002972,0.0002972
88,8082.71,0.43933,0.66733,0.33163,0.91384,0.97592,0.95506,0.98183,0.86302,0.95281,0.93258,0.96782,0.85722,0.57897,0.92497,0.38054,0.93696,0.0002774,0.0002774,0.0002774
